cycle_id,machine_id,operator_id,timestamp,task_type,soil_condition,load_condition,cycle_time_seconds,fuel_used_l,load_amount_tons,idle_time_seconds,is_post_coaching
CYC_0049,EXC004,OP_EXP_001,2026-08-10T07:32:50,trenching,soft,medium,33.86,0.172,1.94,1.08,0
CYC_0050,EXC005,OP_EXP_001,2026-08-10T07:33:29,trenching,soft,medium,36.07,0.178,1.94,0.57,0
CYC_0051,EXC001,OP_EXP_001,2026-08-10T07:34:11,trenching,soft,medium,36.99,0.185,1.97,0.6,0
CYC_0052,EXC002,OP_EXP_001,2026-08-10T07:34:53,trenching,soft,medium,36.18,0.191,1.96,0.87,0
CYC_0053,EXC003,OP_EXP_001,2026-08-10T07:35:35,trenching,soft,medium,35.19,0.17,1.97,1.27,0
CYC_0054,EXC004,OP_EXP_001,2026-08-10T07:36:16,trenching,soft,medium,35.37,0.18,1.95,1.01,0
CYC_0055,EXC005,OP_EXP_001,2026-08-10T07:36:57,trenching,soft,medium,36.05,0.178,1.95,0.42,0
CYC_0056,EXC001,OP_EXP_001,2026-08-10T07:37:39,trenching,soft,medium,36.12,0.18,1.94,0.76,0
CYC_0057,EXC002,OP_EXP_001,2026-08-10T07:38:21,trenching,soft,medium,36.67,0.194,1.95,0.56,0
CYC_0058,EXC003,OP_EXP_001,2026-08-10T07:39:03,trenching,soft,medium,36.77,0.178,1.92,0.72,0
CYC_0059,EXC004,OP_EXP_001,2026-08-10T07:39:45,trenching,soft,medium,36.02,0.183,1.93,0.88,0
CYC_0060,EXC005,OP_EXP_001,2026-08-10T07:40:27,trenching,soft,medium,35.39,0.175,1.96,0.34,0
CYC_0061,EXC001,OP_EXP_001,2026-08-10T07:41:08,trenching,soft,medium,34.97,0.175,1.94,0.7,0
CYC_0062,EXC002,OP_EXP_001,2026-08-10T07:41:48,trenching,soft,medium,36.3,0.192,1.94,0.87,0
CYC_0063,EXC003,OP_EXP_001,2026-08-10T07:42:30,trenching,soft,medium,34.37,0.166,1.95,1.01,0
CYC_0064,EXC004,OP_EXP_001,2026-08-10T07:43:10,trenching,soft,medium,35.51,0.181,1.98,0.71,0
CYC_0065,EXC005,OP_EXP_001,2026-08-10T07:43:51,trenching,soft,medium,35.54,0.176,1.96,0.8,0
CYC_0066,EXC001,OP_EXP_001,2026-08-10T07:44:32,trenching,soft,medium,35.54,0.177,1.94,0.65,0
CYC_0067,EXC002,OP_EXP_001,2026-08-10T07:45:13,trenching,soft,medium,35.38,0.187,1.93,0.53,0
CYC_0068,EXC003,OP_EXP_001,2026-08-10T07:45:54,trenching,soft,medium,33.69,0.163,1.96,0.87,0
CYC_0069,EXC004,OP_EXP_001,2026-08-10T07:46:33,trenching,soft,medium,33.49,0.171,1.95,0.6,0
CYC_0070,EXC005,OP_EXP_001,2026-08-10T07:47:12,trenching,soft,medium,34.28,0.169,1.95,0.53,0
CYC_0071,EXC001,OP_EXP_001,2026-08-10T07:47:52,trenching,soft,medium,36.05,0.18,1.94,1.11,0
CYC_0072,EXC002,OP_EXP_001,2026-08-10T07:48:34,trenching,soft,medium,35.6,0.188,1.96,0.7,0
CYC_0073,EXC003,OP_EXP_001,2026-08-10T07:49:15,trenching,soft,medium,35.71,0.173,1.93,1.02,0
CYC_0074,EXC004,OP_EXP_001,2026-08-10T07:49:56,trenching,soft,medium,35.73,0.182,1.96,0.86,0
CYC_0075,EXC005,OP_EXP_001,2026-08-10T07:50:37,trenching,soft,medium,35.1,0.173,1.96,0.78,0
CYC_0076,EXC001,OP_EXP_001,2026-08-10T07:51:18,trenching,soft,medium,36.13,0.18,1.95,0.44,0
CYC_0077,EXC002,OP_EXP_001,2026-08-10T07:52:00,trenching,soft,medium,38.98,0.206,1.94,0.96,0
CYC_0078,EXC003,OP_EXP_001,2026-08-10T07:52:44,trenching,soft,medium,35.7,0.173,1.93,0.92,0
CYC_0079,EXC004,OP_EXP_001,2026-08-10T07:53:25,trenching,soft,medium,34.28,0.175,1.98,0.6,0
CYC_0080,EXC005,OP_EXP_001,2026-08-10T07:54:05,trenching,soft,medium,35.29,0.174,1.98,0.92,0
CYC_0081,EXC001,OP_EXP_001,2026-08-10T07:54:46,trenching,soft,medium,36.58,0.183,1.97,1.1,0
CYC_0082,EXC002,OP_EXP_001,2026-08-10T07:55:28,trenching,soft,medium,37.06,0.196,1.94,0.6,0
CYC_0083,EXC003,OP_EXP_001,2026-08-10T07:56:11,trenching,soft,medium,35.86,0.174,1.93,0.75,0
CYC_0084,EXC004,OP_EXP_001,2026-08-10T07:56:52,trenching,soft,medium,35.52,0.181,1.97,0.8,0
CYC_0085,EXC005,OP_EXP_001,2026-08-10T07:57:33,trenching,soft,medium,35.45,0.175,1.95,0.55,0
CYC_0086,EXC001,OP_EXP_001,2026-08-10T07:58:14,trenching,soft,medium,35.83,0.179,1.96,0.76,0
CYC_0087,EXC002,OP_EXP_001,2026-08-10T07:58:55,trenching,soft,medium,37.21,0.197,1.95,0.93,0
CYC_0088,EXC003,OP_EXP_001,2026-08-10T07:59:38,trenching,soft,medium,35.24,0.171,1.96,0.89,0
CYC_0089,EXC004,OP_EXP_001,2026-08-10T08:00:19,trenching,soft,medium,35.17,0.179,1.96,0.86,0
CYC_0090,EXC005,OP_EXP_001,2026-08-10T08:01:00,trenching,soft,medium,35.68,0.176,1.95,1.02,0
CYC_0091,EXC001,OP_EXP_001,2026-08-10T08:01:41,trenching,soft,medium,36.08,0.18,1.95,1.03,0
CYC_0092,EXC002,OP_EXP_001,2026-08-10T08:02:23,trenching,soft,medium,37.07,0.196,1.96,0.23,0
CYC_0093,EXC003,OP_EXP_001,2026-08-10T08:03:06,trenching,soft,medium,36.64,0.177,1.96,0.55,0
CYC_0094,EXC004,OP_EXP_001,2026-08-10T08:03:48,trenching,soft,medium,34.7,0.177,1.94,0.92,0
CYC_0095,EXC005,OP_NOV_001,2026-08-10T08:04:28,trenching,soft,medium,41.29,0.21,1.98,0.79,0
CYC_0096,EXC001,OP_NOV_001,2026-08-10T08:05:15,trenching,soft,medium,41.09,0.212,2.0,0.53,0
CYC_0097,EXC002,OP_NOV_001,2026-08-10T08:06:02,trenching,soft,medium,45.38,0.248,1.96,0.98,0
CYC_0098,EXC003,OP_NOV_001,2026-08-10T08:06:53,trenching,soft,medium,41.89,0.209,1.96,1.36,0
CYC_0099,EXC004,OP_NOV_001,2026-08-10T08:07:40,trenching,soft,medium,39.07,0.205,1.95,0.69,0
CYC_0100,EXC005,OP_NOV_001,2026-08-10T08:08:25,trenching,soft,medium,37.43,0.191,1.93,0.69,0
CYC_0101,EXC001,OP_NOV_001,2026-08-10T08:09:08,trenching,soft,medium,38.09,0.196,1.97,0.54,0
CYC_0102,EXC002,OP_NOV_001,2026-08-10T08:09:52,trenching,soft,medium,45.78,0.25,1.99,0.77,0
CYC_0103,EXC003,OP_NOV_001,2026-08-10T08:10:43,trenching,soft,medium,41.67,0.208,2.01,0.92,0
CYC_0104,EXC004,OP_NOV_001,2026-08-10T08:11:30,trenching,soft,medium,40.27,0.211,1.93,0.45,0
CYC_0105,EXC005,OP_NOV_001,2026-08-10T08:12:16,trenching,soft,medium,38.88,0.198,1.97,0.8,1
CYC_0106,EXC001,OP_NOV_001,2026-08-10T08:13:00,trenching,soft,medium,36.39,0.187,1.97,0.81,1
CYC_0107,EXC002,OP_NOV_001,2026-08-10T08:13:42,trenching,soft,medium,34.96,0.191,1.98,0.22,1
CYC_0108,EXC003,OP_NOV_001,2026-08-10T08:14:22,trenching,soft,medium,35.21,0.176,1.98,0.94,1
CYC_0109,EXC004,OP_NOV_001,2026-08-10T08:15:03,trenching,soft,medium,36.51,0.192,1.92,0.95,1
CYC_0110,EXC005,OP_NOV_001,2026-08-10T08:15:45,trenching,soft,medium,36.74,0.187,1.92,1.12,1
CYC_0111,EXC001,OP_NOV_001,2026-08-10T08:16:27,trenching,soft,medium,37.96,0.195,1.91,1.05,1
CYC_0112,EXC002,OP_NOV_001,2026-08-10T08:17:10,trenching,soft,medium,35.6,0.194,1.9,0.84,1
CYC_0113,EXC003,OP_NOV_001,2026-08-10T08:17:51,trenching,soft,medium,33.98,0.17,1.95,0.72,1
CYC_0114,EXC004,OP_NOV_001,2026-08-10T08:18:30,trenching,soft,medium,38.55,0.202,1.92,0.75,1
CYC_0115,EXC005,OP_EXP_003,2026-08-10T08:19:14,trenching,soft,medium,37.08,0.185,1.93,1.2,0
CYC_0116,EXC001,OP_NOV_002,2026-08-10T08:19:57,trenching,soft,medium,40.46,0.212,1.99,1.04,0
CYC_0117,EXC002,OP_NOV_003,2026-08-10T08:20:43,trenching,soft,medium,35.84,0.198,1.96,0.95,0
CYC_0118,EXC003,OP_NOV_005,2026-08-10T08:21:24,trenching,soft,medium,40.18,0.201,1.96,1.0,0
CYC_0119,EXC004,OP_EXP_003,2026-08-10T08:22:10,trenching,soft,medium,35.08,0.18,1.94,1.1,0
CYC_0120,EXC005,OP_NOV_002,2026-08-10T08:22:51,trenching,soft,medium,35.59,0.185,2.01,0.91,0
CYC_0121,EXC001,OP_NOV_003,2026-08-10T08:23:32,trenching,soft,medium,34.59,0.18,1.93,1.12,0
CYC_0122,EXC002,OP_NOV_005,2026-08-10T08:24:12,trenching,soft,medium,39.47,0.216,1.92,0.55,0
CYC_0123,EXC003,OP_EXP_003,2026-08-10T08:24:57,trenching,soft,medium,35.92,0.175,1.95,1.09,0
CYC_0124,EXC004,OP_NOV_002,2026-08-10T08:25:38,trenching,soft,medium,39.92,0.213,2.03,0.64,0
CYC_0125,EXC005,OP_NOV_003,2026-08-10T08:26:23,trenching,soft,medium,39.13,0.201,1.97,0.46,0
CYC_0126,EXC001,OP_NOV_005,2026-08-10T08:27:08,trenching,soft,medium,35.97,0.186,1.92,0.77,0
CYC_0127,EXC002,OP_EXP_001,2026-08-10T08:27:49,trenching,soft,light,34.48,0.182,1.45,0.77,0
CYC_0128,EXC003,OP_EXP_001,2026-08-10T08:28:29,trenching,soft,light,34.53,0.167,1.45,0.53,0
CYC_0129,EXC004,OP_NOV_001,2026-08-10T08:29:09,trenching,soft,light,41.77,0.219,1.41,0.9,0
CYC_0130,EXC005,OP_EXP_003,2026-08-10T08:29:56,trenching,soft,light,32.82,0.163,1.44,0.27,0
CYC_0131,EXC001,OP_EXP_003,2026-08-10T08:30:34,trenching,soft,light,33.32,0.168,1.44,0.21,0
CYC_0132,EXC002,OP_EXP_003,2026-08-10T08:31:13,trenching,soft,light,35.07,0.187,1.45,1.41,0
CYC_0133,EXC003,OP_EXP_001,2026-08-10T08:31:54,trenching,soft,light,32.48,0.157,1.44,0.45,0
CYC_0134,EXC004,OP_EXP_001,2026-08-10T08:32:32,trenching,soft,light,35.12,0.179,1.45,0.89,0
CYC_0135,EXC005,OP_NOV_003,2026-08-10T08:33:13,trenching,soft,light,40.55,0.209,1.45,0.78,0
CYC_0136,EXC001,OP_EXP_001,2026-08-10T08:33:59,trenching,soft,light,37.06,0.185,1.45,1.07,0
CYC_0137,EXC002,OP_EXP_002,2026-08-10T08:34:42,excavation,soft,medium,36.19,0.192,1.95,0.91,0
CYC_0138,EXC003,OP_EXP_002,2026-08-10T08:35:24,excavation,soft,medium,37.35,0.181,1.94,0.98,0
CYC_0139,EXC004,OP_EXP_002,2026-08-10T08:36:07,excavation,soft,medium,37.27,0.19,1.94,0.71,0
CYC_0140,EXC005,OP_EXP_002,2026-08-10T08:36:50,excavation,soft,medium,36.99,0.183,1.94,0.73,0
CYC_0141,EXC001,OP_NOV_004,2026-08-10T08:37:32,excavation,soft,medium,40.23,0.21,1.96,0.65,0
CYC_0142,EXC002,OP_NOV_004,2026-08-10T08:38:18,excavation,soft,medium,38.11,0.211,1.95,0.76,0
CYC_0143,EXC003,OP_EXP_001,2026-08-10T08:39:02,trenching,medium,medium,36.21,0.175,1.96,0.2,0
CYC_0144,EXC004,OP_NOV_005,2026-08-10T08:39:44,trenching,medium,medium,40.57,0.214,1.98,0.36,0
CYC_0145,EXC005,OP_EXP_003,2026-08-10T08:40:30,trenching,medium,medium,35.57,0.177,1.94,0.2,0
CYC_0146,EXC001,OP_NOV_005,2026-08-10T08:41:11,trenching,medium,medium,44.5,0.23,1.96,0.98,0
CYC_0147,EXC002,OP_NOV_003,2026-08-10T08:42:01,trenching,medium,medium,39.52,0.218,1.95,0.36,0
CYC_0148,EXC003,OP_EXP_003,2026-08-10T08:42:46,trenching,medium,medium,36.54,0.178,1.96,1.25,0
CYC_0149,EXC004,OP_NOV_003,2026-08-10T08:43:28,trenching,medium,medium,40.12,0.213,1.92,0.31,0
CYC_0150,EXC005,OP_NOV_005,2026-08-10T08:44:14,trenching,medium,medium,39.48,0.202,1.96,0.59,0
CYC_0151,EXC001,OP_NOV_001,2026-08-10T08:44:59,trenching,medium,medium,38.46,0.198,1.94,0.81,0
CYC_0152,EXC002,OP_EXP_001,2026-08-10T08:45:43,trenching,medium,medium,35.61,0.188,1.94,0.4,0
CYC_0153,EXC003,OP_EXP_003,2026-08-10T08:46:24,trenching,medium,medium,34.79,0.17,1.95,0.52,0
CYC_0154,EXC004,OP_NOV_003,2026-08-10T08:47:04,trenching,medium,medium,39.62,0.21,1.95,0.62,0
CYC_0155,EXC005,OP_NOV_001,2026-08-10T08:47:49,trenching,medium,medium,38.73,0.197,1.95,0.86,0
CYC_0156,EXC001,OP_NOV_001,2026-08-10T08:48:33,trenching,medium,medium,39.56,0.204,1.94,0.89,0
CYC_0157,EXC002,OP_EXP_003,2026-08-10T08:49:18,trenching,medium,medium,36.19,0.193,1.95,0.53,0
CYC_0158,EXC003,OP_EXP_003,2026-08-10T08:50:00,trenching,medium,medium,37.0,0.181,1.96,1.13,0
CYC_0159,EXC004,OP_NOV_001,2026-08-10T08:50:42,trenching,medium,medium,41.1,0.216,1.94,0.8,0
CYC_0160,EXC005,OP_EXP_001,2026-08-10T08:51:29,trenching,medium,medium,35.24,0.174,1.95,1.07,0
CYC_0161,EXC001,OP_EXP_001,2026-08-10T08:52:10,trenching,medium,medium,36.31,0.181,1.95,0.23,0
CYC_0162,EXC002,OP_NOV_003,2026-08-10T08:52:52,trenching,medium,medium,41.97,0.231,1.91,1.0,0
CYC_0163,EXC003,OP_EXP_001,2026-08-10T08:53:39,trenching,medium,medium,34.57,0.167,1.97,0.91,0
CYC_0164,EXC004,OP_NOV_001,2026-08-10T08:54:19,trenching,medium,medium,39.78,0.209,1.99,0.99,0
CYC_0165,EXC005,OP_NOV_001,2026-08-10T08:55:04,trenching,medium,medium,45.35,0.231,1.92,0.7,0
CYC_0166,EXC001,OP_NOV_005,2026-08-10T08:55:55,trenching,medium,medium,39.13,0.202,2.01,0.92,0
CYC_0167,EXC002,OP_NOV_001,2026-08-10T08:56:40,trenching,medium,medium,40.94,0.223,1.89,0.76,0
CYC_0168,EXC003,OP_EXP_001,2026-08-10T08:57:26,trenching,medium,medium,37.02,0.179,1.96,1.12,0
CYC_0169,EXC004,OP_NOV_003,2026-08-10T08:58:09,trenching,medium,medium,42.96,0.228,1.97,0.85,0
CYC_0170,EXC005,OP_NOV_005,2026-08-10T08:58:57,trenching,medium,medium,42.67,0.218,1.93,0.87,0
CYC_0171,EXC001,OP_EXP_001,2026-08-10T08:59:45,trenching,medium,medium,35.81,0.179,1.96,0.34,0
CYC_0172,EXC002,OP_NOV_003,2026-08-10T09:00:26,trenching,medium,medium,38.01,0.21,1.96,0.7,0
CYC_0173,EXC003,OP_EXP_001,2026-08-10T09:01:10,trenching,medium,medium,36.67,0.178,1.97,0.78,0
CYC_0174,EXC004,OP_NOV_005,2026-08-10T09:01:52,trenching,medium,medium,40.7,0.214,1.94,0.88,0
CYC_0175,EXC005,OP_NOV_001,2026-08-10T09:02:38,trenching,medium,medium,40.23,0.205,1.94,0.69,0
CYC_0176,EXC001,OP_NOV_005,2026-08-10T09:03:24,trenching,medium,medium,41.44,0.214,1.94,0.78,0
CYC_0177,EXC002,OP_NOV_001,2026-08-10T09:04:11,trenching,medium,medium,40.75,0.222,2.04,0.67,0
CYC_0178,EXC003,OP_NOV_005,2026-08-10T09:04:57,trenching,medium,medium,38.73,0.194,1.97,0.89,0
CYC_0179,EXC004,OP_EXP_003,2026-08-10T09:05:41,trenching,medium,medium,36.36,0.187,1.97,0.7,0
CYC_0180,EXC005,OP_EXP_001,2026-08-10T09:06:23,trenching,medium,medium,35.57,0.176,1.93,0.74,0
CYC_0181,EXC001,OP_EXP_001,2026-08-10T09:07:04,trenching,medium,medium,36.43,0.182,1.91,0.62,0
CYC_0182,EXC002,OP_EXP_003,2026-08-10T09:07:46,trenching,medium,medium,35.36,0.189,1.94,1.15,0
CYC_0183,EXC003,OP_NOV_001,2026-08-10T09:08:27,trenching,medium,medium,44.79,0.224,1.95,0.76,0
CYC_0184,EXC004,OP_EXP_001,2026-08-10T09:09:17,trenching,medium,medium,36.05,0.184,1.94,0.82,0
CYC_0185,EXC005,OP_EXP_003,2026-08-10T09:09:59,trenching,medium,medium,35.3,0.176,1.94,0.83,0
CYC_0186,EXC001,OP_EXP_001,2026-08-10T09:10:40,trenching,medium,medium,35.94,0.179,1.93,0.69,0
CYC_0187,EXC002,OP_NOV_003,2026-08-10T09:11:21,trenching,medium,medium,41.05,0.226,2.02,1.33,0
CYC_0188,EXC003,OP_NOV_001,2026-08-10T09:12:08,trenching,medium,medium,44.03,0.22,1.95,1.4,0
CYC_0189,EXC004,OP_NOV_003,2026-08-10T09:12:58,trenching,medium,medium,41.1,0.218,1.93,0.89,0
CYC_0190,EXC005,OP_NOV_001,2026-08-10T09:13:45,trenching,medium,medium,40.87,0.208,1.99,0.79,0
CYC_0191,EXC001,OP_EXP_003,2026-08-10T09:14:31,trenching,medium,medium,35.92,0.181,1.95,0.88,0
CYC_0192,EXC002,OP_NOV_001,2026-08-10T09:15:12,trenching,medium,medium,38.36,0.209,1.95,0.97,0
CYC_0193,EXC003,OP_NOV_001,2026-08-10T09:15:56,trenching,medium,medium,43.69,0.218,1.96,0.86,0
CYC_0194,EXC004,OP_EXP_003,2026-08-10T09:16:45,trenching,medium,medium,35.2,0.181,1.95,0.98,0
CYC_0195,EXC005,OP_NOV_001,2026-08-10T09:17:26,trenching,medium,medium,38.07,0.194,1.97,1.14,0
CYC_0196,EXC001,OP_EXP_001,2026-08-10T09:18:10,trenching,medium,medium,36.24,0.181,1.94,0.52,0
CYC_0197,EXC002,OP_NOV_005,2026-08-10T09:18:52,trenching,medium,medium,41.44,0.227,1.88,0.56,0
CYC_0198,EXC003,OP_EXP_003,2026-08-10T09:19:39,trenching,medium,medium,35.78,0.175,1.96,1.13,0
CYC_0199,EXC004,OP_NOV_005,2026-08-10T09:20:20,trenching,medium,medium,41.35,0.218,1.97,1.11,0
CYC_0200,EXC005,OP_EXP_003,2026-08-10T09:21:07,trenching,medium,medium,35.88,0.179,1.96,0.32,0
CYC_0201,EXC001,OP_EXP_003,2026-08-10T09:21:48,trenching,medium,medium,35.5,0.179,1.95,0.66,0
CYC_0202,EXC002,OP_NOV_003,2026-08-10T09:22:29,trenching,medium,medium,40.15,0.221,1.94,0.88,0
CYC_0203,EXC003,OP_NOV_003,2026-08-10T09:23:15,trenching,medium,medium,38.95,0.196,1.95,0.73,0
CYC_0204,EXC004,OP_NOV_001,2026-08-10T09:23:59,trenching,medium,medium,38.46,0.202,1.96,0.86,0
CYC_0205,EXC005,OP_NOV_005,2026-08-10T09:24:43,trenching,medium,medium,38.43,0.196,1.96,1.1,0
CYC_0206,EXC001,OP_EXP_003,2026-08-10T09:25:27,trenching,medium,medium,36.35,0.183,1.95,0.99,0
CYC_0207,EXC002,OP_NOV_001,2026-08-10T09:26:09,trenching,medium,medium,38.25,0.209,1.98,0.57,0
CYC_0208,EXC003,OP_EXP_001,2026-08-10T09:26:53,trenching,medium,medium,34.34,0.166,1.93,0.28,0
CYC_0209,EXC004,OP_EXP_003,2026-08-10T09:27:33,trenching,medium,medium,36.39,0.187,1.96,0.84,0
CYC_0210,EXC005,OP_EXP_001,2026-08-10T09:28:15,trenching,medium,medium,36.35,0.18,1.95,1.34,0
CYC_0211,EXC001,OP_NOV_001,2026-08-10T09:28:57,trenching,medium,medium,41.06,0.211,1.98,0.78,0
CYC_0212,EXC002,OP_NOV_003,2026-08-10T09:29:44,trenching,medium,medium,35.66,0.197,1.95,1.01,0
CYC_0213,EXC003,OP_NOV_001,2026-08-10T09:30:25,trenching,medium,medium,37.29,0.186,1.96,0.54,0
CYC_0214,EXC004,OP_EXP_001,2026-08-10T09:31:08,trenching,medium,medium,37.13,0.189,1.96,0.85,0
CYC_0215,EXC005,OP_EXP_003,2026-08-10T09:31:51,trenching,medium,medium,36.39,0.181,1.97,1.11,0
CYC_0216,EXC001,OP_NOV_005,2026-08-10T09:32:33,trenching,medium,medium,40.5,0.209,1.96,0.68,0
CYC_0217,EXC002,OP_NOV_001,2026-08-10T09:33:19,trenching,medium,medium,40.84,0.223,1.97,0.55,0
CYC_0218,EXC003,OP_EXP_003,2026-08-10T09:34:05,trenching,medium,light,33.6,0.164,1.45,0.79,0
CYC_0219,EXC004,OP_NOV_004,2026-08-10T09:34:44,trenching,medium,light,37.93,0.202,1.48,0.81,0
CYC_0220,EXC005,OP_NOV_004,2026-08-10T09:35:27,trenching,medium,light,39.68,0.205,1.44,0.88,0
CYC_0221,EXC001,OP_NOV_004,2026-08-10T09:36:12,trenching,medium,light,40.99,0.214,1.45,0.9,0
CYC_0222,EXC002,OP_EXP_003,2026-08-10T09:36:58,trenching,medium,light,34.48,0.184,1.45,0.76,0
CYC_0223,EXC003,OP_NOV_002,2026-08-10T09:37:38,trenching,medium,light,37.04,0.188,1.49,1.32,0
