phase_id,cycle_id,phase_name,phase_order,duration_seconds
CYC_0030_P3,CYC_0030,SWING,3,6.6
CYC_0030_P4,CYC_0030,DUMP,4,5.36
CYC_0030_P5,CYC_0030,REPOSITION,5,6.5
CYC_0031_P1,CYC_0031,DIG,1,8.63
CYC_0031_P2,CYC_0031,LIFT,2,5.7
CYC_0031_P3,CYC_0031,SWING,3,6.92
CYC_0031_P4,CYC_0031,DUMP,4,5.51
CYC_0031_P5,CYC_0031,REPOSITION,5,9.06
CYC_0032_P1,CYC_0032,DIG,1,8.79
CYC_0032_P2,CYC_0032,LIFT,2,5.7
CYC_0032_P3,CYC_0032,SWING,3,7.0
CYC_0032_P4,CYC_0032,DUMP,4,5.53
CYC_0032_P5,CYC_0032,REPOSITION,5,8.04
CYC_0033_P1,CYC_0033,DIG,1,8.78
CYC_0033_P2,CYC_0033,LIFT,2,5.69
CYC_0033_P3,CYC_0033,SWING,3,6.64
CYC_0033_P4,CYC_0033,DUMP,4,5.31
CYC_0033_P5,CYC_0033,REPOSITION,5,9.54
CYC_0034_P1,CYC_0034,DIG,1,8.59
CYC_0034_P2,CYC_0034,LIFT,2,5.61
CYC_0034_P3,CYC_0034,SWING,3,6.76
CYC_0034_P4,CYC_0034,DUMP,4,5.57
CYC_0034_P5,CYC_0034,REPOSITION,5,9.15
CYC_0035_P1,CYC_0035,DIG,1,8.71
CYC_0035_P2,CYC_0035,LIFT,2,5.78
CYC_0035_P3,CYC_0035,SWING,3,6.79
CYC_0035_P4,CYC_0035,DUMP,4,5.14
CYC_0035_P5,CYC_0035,REPOSITION,5,7.54
CYC_0036_P1,CYC_0036,DIG,1,8.68
CYC_0036_P2,CYC_0036,LIFT,2,5.89
CYC_0036_P3,CYC_0036,SWING,3,6.5
CYC_0036_P4,CYC_0036,DUMP,4,5.52
CYC_0036_P5,CYC_0036,REPOSITION,5,9.57
CYC_0037_P1,CYC_0037,DIG,1,8.94
CYC_0037_P2,CYC_0037,LIFT,2,5.68
CYC_0037_P3,CYC_0037,SWING,3,6.61
CYC_0037_P4,CYC_0037,DUMP,4,5.76
CYC_0037_P5,CYC_0037,REPOSITION,5,7.5
CYC_0038_P1,CYC_0038,DIG,1,8.04
CYC_0038_P2,CYC_0038,LIFT,2,5.62
CYC_0038_P3,CYC_0038,SWING,3,6.52
CYC_0038_P4,CYC_0038,DUMP,4,5.57
CYC_0038_P5,CYC_0038,REPOSITION,5,7.96
CYC_0039_P1,CYC_0039,DIG,1,8.18
CYC_0039_P2,CYC_0039,LIFT,2,6.19
CYC_0039_P3,CYC_0039,SWING,3,6.16
CYC_0039_P4,CYC_0039,DUMP,4,5.58
CYC_0039_P5,CYC_0039,REPOSITION,5,8.41
CYC_0040_P1,CYC_0040,DIG,1,8.61
CYC_0040_P2,CYC_0040,LIFT,2,6.1
CYC_0040_P3,CYC_0040,SWING,3,6.28
CYC_0040_P4,CYC_0040,DUMP,4,5.49
CYC_0040_P5,CYC_0040,REPOSITION,5,8.31
CYC_0041_P1,CYC_0041,DIG,1,8.9
CYC_0041_P2,CYC_0041,LIFT,2,5.98
CYC_0041_P3,CYC_0041,SWING,3,6.72
CYC_0041_P4,CYC_0041,DUMP,4,5.38
CYC_0041_P5,CYC_0041,REPOSITION,5,9.0
CYC_0042_P1,CYC_0042,DIG,1,8.86
CYC_0042_P2,CYC_0042,LIFT,2,5.58
CYC_0042_P3,CYC_0042,SWING,3,6.84
CYC_0042_P4,CYC_0042,DUMP,4,5.82
CYC_0042_P5,CYC_0042,REPOSITION,5,7.45
CYC_0043_P1,CYC_0043,DIG,1,8.84
CYC_0043_P2,CYC_0043,LIFT,2,5.94
CYC_0043_P3,CYC_0043,SWING,3,6.51
CYC_0043_P4,CYC_0043,DUMP,4,5.64
CYC_0043_P5,CYC_0043,REPOSITION,5,8.89
CYC_0044_P1,CYC_0044,DIG,1,8.24
CYC_0044_P2,CYC_0044,LIFT,2,6.03
CYC_0044_P3,CYC_0044,SWING,3,6.89
CYC_0044_P4,CYC_0044,DUMP,4,5.39
CYC_0044_P5,CYC_0044,REPOSITION,5,7.03
CYC_0045_P1,CYC_0045,DIG,1,9.12
CYC_0045_P2,CYC_0045,LIFT,2,5.68
CYC_0045_P3,CYC_0045,SWING,3,6.77
CYC_0045_P4,CYC_0045,DUMP,4,5.35
CYC_0045_P5,CYC_0045,REPOSITION,5,7.99
CYC_0046_P1,CYC_0046,DIG,1,8.6
CYC_0046_P2,CYC_0046,LIFT,2,5.7
CYC_0046_P3,CYC_0046,SWING,3,6.55
CYC_0046_P4,CYC_0046,DUMP,4,5.66
CYC_0046_P5,CYC_0046,REPOSITION,5,6.85
CYC_0047_P1,CYC_0047,DIG,1,8.48
CYC_0047_P2,CYC_0047,LIFT,2,5.77
CYC_0047_P3,CYC_0047,SWING,3,6.72
CYC_0047_P4,CYC_0047,DUMP,4,5.57
CYC_0047_P5,CYC_0047,REPOSITION,5,6.92
CYC_0048_P1,CYC_0048,DIG,1,8.6
CYC_0048_P2,CYC_0048,LIFT,2,5.77
CYC_0048_P3,CYC_0048,SWING,3,6.7
CYC_0048_P4,CYC_0048,DUMP,4,5.5
CYC_0048_P5,CYC_0048,REPOSITION,5,8.48
CYC_0049_P1,CYC_0049,DIG,1,8.62
CYC_0049_P2,CYC_0049,LIFT,2,5.88
CYC_0049_P3,CYC_0049,SWING,3,6.4
CYC_0049_P4,CYC_0049,DUMP,4,5.38
CYC_0049_P5,CYC_0049,REPOSITION,5,6.5
CYC_0050_P1,CYC_0050,DIG,1,8.73
CYC_0050_P2,CYC_0050,LIFT,2,5.68
CYC_0050_P3,CYC_0050,SWING,3,6.79
CYC_0050_P4,CYC_0050,DUMP,4,5.47
CYC_0050_P5,CYC_0050,REPOSITION,5,8.83
CYC_0051_P1,CYC_0051,DIG,1,9.13
CYC_0051_P2,CYC_0051,LIFT,2,5.89
CYC_0051_P3,CYC_0051,SWING,3,6.82
CYC_0051_P4,CYC_0051,DUMP,4,5.59
CYC_0051_P5,CYC_0051,REPOSITION,5,8.96
CYC_0052_P1,CYC_0052,DIG,1,8.54
CYC_0052_P2,CYC_0052,LIFT,2,5.61
CYC_0052_P3,CYC_0052,SWING,3,6.61
CYC_0052_P4,CYC_0052,DUMP,4,5.4
CYC_0052_P5,CYC_0052,REPOSITION,5,9.15
CYC_0053_P1,CYC_0053,DIG,1,8.36
CYC_0053_P2,CYC_0053,LIFT,2,6.08
CYC_0053_P3,CYC_0053,SWING,3,6.68
CYC_0053_P4,CYC_0053,DUMP,4,5.81
CYC_0053_P5,CYC_0053,REPOSITION,5,6.99
CYC_0054_P1,CYC_0054,DIG,1,8.45
CYC_0054_P2,CYC_0054,LIFT,2,5.61
CYC_0054_P3,CYC_0054,SWING,3,6.66
CYC_0054_P4,CYC_0054,DUMP,4,5.27
CYC_0054_P5,CYC_0054,REPOSITION,5,8.37
CYC_0055_P1,CYC_0055,DIG,1,8.92
CYC_0055_P2,CYC_0055,LIFT,2,5.42
CYC_0055_P3,CYC_0055,SWING,3,6.78
CYC_0055_P4,CYC_0055,DUMP,4,5.44
CYC_0055_P5,CYC_0055,REPOSITION,5,9.07
CYC_0056_P1,CYC_0056,DIG,1,8.37
CYC_0056_P2,CYC_0056,LIFT,2,5.86
CYC_0056_P3,CYC_0056,SWING,3,6.99
CYC_0056_P4,CYC_0056,DUMP,4,5.62
CYC_0056_P5,CYC_0056,REPOSITION,5,8.52
CYC_0057_P1,CYC_0057,DIG,1,8.24
CYC_0057_P2,CYC_0057,LIFT,2,5.84
CYC_0057_P3,CYC_0057,SWING,3,6.79
CYC_0057_P4,CYC_0057,DUMP,4,5.38
CYC_0057_P5,CYC_0057,REPOSITION,5,9.86
CYC_0058_P1,CYC_0058,DIG,1,8.88
CYC_0058_P2,CYC_0058,LIFT,2,5.54
CYC_0058_P3,CYC_0058,SWING,3,6.51
CYC_0058_P4,CYC_0058,DUMP,4,5.17
CYC_0058_P5,CYC_0058,REPOSITION,5,9.95
CYC_0059_P1,CYC_0059,DIG,1,8.46
CYC_0059_P2,CYC_0059,LIFT,2,5.81
CYC_0059_P3,CYC_0059,SWING,3,6.89
CYC_0059_P4,CYC_0059,DUMP,4,5.8
CYC_0059_P5,CYC_0059,REPOSITION,5,8.18
CYC_0060_P1,CYC_0060,DIG,1,8.65
CYC_0060_P2,CYC_0060,LIFT,2,5.87
CYC_0060_P3,CYC_0060,SWING,3,6.87
CYC_0060_P4,CYC_0060,DUMP,4,5.83
CYC_0060_P5,CYC_0060,REPOSITION,5,7.83
CYC_0061_P1,CYC_0061,DIG,1,8.27
CYC_0061_P2,CYC_0061,LIFT,2,5.62
CYC_0061_P3,CYC_0061,SWING,3,6.57
CYC_0061_P4,CYC_0061,DUMP,4,5.53
CYC_0061_P5,CYC_0061,REPOSITION,5,8.28
CYC_0062_P1,CYC_0062,DIG,1,8.35
CYC_0062_P2,CYC_0062,LIFT,2,5.99
CYC_0062_P3,CYC_0062,SWING,3,6.53
CYC_0062_P4,CYC_0062,DUMP,4,5.55
CYC_0062_P5,CYC_0062,REPOSITION,5,9.01
CYC_0063_P1,CYC_0063,DIG,1,8.39
CYC_0063_P2,CYC_0063,LIFT,2,5.43
CYC_0063_P3,CYC_0063,SWING,3,6.47
CYC_0063_P4,CYC_0063,DUMP,4,5.55
CYC_0063_P5,CYC_0063,REPOSITION,5,7.52
CYC_0064_P1,CYC_0064,DIG,1,8.29
CYC_0064_P2,CYC_0064,LIFT,2,6.47
CYC_0064_P3,CYC_0064,SWING,3,7.01
CYC_0064_P4,CYC_0064,DUMP,4,5.42
CYC_0064_P5,CYC_0064,REPOSITION,5,7.61
CYC_0065_P1,CYC_0065,DIG,1,8.35
CYC_0065_P2,CYC_0065,LIFT,2,6.02
CYC_0065_P3,CYC_0065,SWING,3,6.61
CYC_0065_P4,CYC_0065,DUMP,4,5.59
CYC_0065_P5,CYC_0065,REPOSITION,5,8.17
CYC_0066_P1,CYC_0066,DIG,1,8.95
CYC_0066_P2,CYC_0066,LIFT,2,5.91
CYC_0066_P3,CYC_0066,SWING,3,6.67
CYC_0066_P4,CYC_0066,DUMP,4,5.53
CYC_0066_P5,CYC_0066,REPOSITION,5,7.83
CYC_0067_P1,CYC_0067,DIG,1,8.4
CYC_0067_P2,CYC_0067,LIFT,2,5.96
CYC_0067_P3,CYC_0067,SWING,3,6.36
CYC_0067_P4,CYC_0067,DUMP,4,5.39
CYC_0067_P5,CYC_0067,REPOSITION,5,8.74
CYC_0068_P1,CYC_0068,DIG,1,7.98
CYC_0068_P2,CYC_0068,LIFT,2,5.74
CYC_0068_P3,CYC_0068,SWING,3,6.82
CYC_0068_P4,CYC_0068,DUMP,4,5.78
CYC_0068_P5,CYC_0068,REPOSITION,5,6.5
CYC_0069_P1,CYC_0069,DIG,1,7.84
CYC_0069_P2,CYC_0069,LIFT,2,6.02
CYC_0069_P3,CYC_0069,SWING,3,6.53
CYC_0069_P4,CYC_0069,DUMP,4,5.72
CYC_0069_P5,CYC_0069,REPOSITION,5,6.78
CYC_0070_P1,CYC_0070,DIG,1,8.01
CYC_0070_P2,CYC_0070,LIFT,2,5.83
CYC_0070_P3,CYC_0070,SWING,3,6.43
CYC_0070_P4,CYC_0070,DUMP,4,5.58
CYC_0070_P5,CYC_0070,REPOSITION,5,7.9
CYC_0071_P1,CYC_0071,DIG,1,8.48
CYC_0071_P2,CYC_0071,LIFT,2,5.7
CYC_0071_P3,CYC_0071,SWING,3,6.76
CYC_0071_P4,CYC_0071,DUMP,4,5.66
CYC_0071_P5,CYC_0071,REPOSITION,5,8.34
CYC_0072_P1,CYC_0072,DIG,1,8.13
CYC_0072_P2,CYC_0072,LIFT,2,5.74
CYC_0072_P3,CYC_0072,SWING,3,6.88
CYC_0072_P4,CYC_0072,DUMP,4,5.23
CYC_0072_P5,CYC_0072,REPOSITION,5,8.92
CYC_0073_P1,CYC_0073,DIG,1,8.25
CYC_0073_P2,CYC_0073,LIFT,2,5.71
CYC_0073_P3,CYC_0073,SWING,3,6.7
CYC_0073_P4,CYC_0073,DUMP,4,5.43
CYC_0073_P5,CYC_0073,REPOSITION,5,8.6
CYC_0074_P1,CYC_0074,DIG,1,8.85
CYC_0074_P2,CYC_0074,LIFT,2,5.94
CYC_0074_P3,CYC_0074,SWING,3,6.73
CYC_0074_P4,CYC_0074,DUMP,4,5.64
CYC_0074_P5,CYC_0074,REPOSITION,5,7.71
CYC_0075_P1,CYC_0075,DIG,1,8.37
CYC_0075_P2,CYC_0075,LIFT,2,5.77
CYC_0075_P3,CYC_0075,SWING,3,6.72
CYC_0075_P4,CYC_0075,DUMP,4,5.74
CYC_0075_P5,CYC_0075,REPOSITION,5,7.72
CYC_0076_P1,CYC_0076,DIG,1,8.88
CYC_0076_P2,CYC_0076,LIFT,2,5.63
CYC_0076_P3,CYC_0076,SWING,3,6.63
CYC_0076_P4,CYC_0076,DUMP,4,5.82
CYC_0076_P5,CYC_0076,REPOSITION,5,8.73
CYC_0077_P1,CYC_0077,DIG,1,8.97
CYC_0077_P2,CYC_0077,LIFT,2,5.75
CYC_0077_P3,CYC_0077,SWING,3,7.24
CYC_0077_P4,CYC_0077,DUMP,4,5.25
CYC_0077_P5,CYC_0077,REPOSITION,5,10.81
CYC_0078_P1,CYC_0078,DIG,1,8.63
CYC_0078_P2,CYC_0078,LIFT,2,5.7
CYC_0078_P3,CYC_0078,SWING,3,6.75
CYC_0078_P4,CYC_0078,DUMP,4,5.67
CYC_0078_P5,CYC_0078,REPOSITION,5,8.03
CYC_0079_P1,CYC_0079,DIG,1,8.25
CYC_0079_P2,CYC_0079,LIFT,2,5.56
CYC_0079_P3,CYC_0079,SWING,3,6.83
CYC_0079_P4,CYC_0079,DUMP,4,5.38
CYC_0079_P5,CYC_0079,REPOSITION,5,7.66
CYC_0080_P1,CYC_0080,DIG,1,8.05
CYC_0080_P2,CYC_0080,LIFT,2,5.9
CYC_0080_P3,CYC_0080,SWING,3,6.9
CYC_0080_P4,CYC_0080,DUMP,4,5.07
CYC_0080_P5,CYC_0080,REPOSITION,5,8.45
CYC_0081_P1,CYC_0081,DIG,1,8.72
CYC_0081_P2,CYC_0081,LIFT,2,5.63
CYC_0081_P3,CYC_0081,SWING,3,6.87
CYC_0081_P4,CYC_0081,DUMP,4,5.5
CYC_0081_P5,CYC_0081,REPOSITION,5,8.76
CYC_0082_P1,CYC_0082,DIG,1,8.64
CYC_0082_P2,CYC_0082,LIFT,2,5.72
CYC_0082_P3,CYC_0082,SWING,3,6.95
CYC_0082_P4,CYC_0082,DUMP,4,5.4
CYC_0082_P5,CYC_0082,REPOSITION,5,9.75
CYC_0083_P1,CYC_0083,DIG,1,8.08
CYC_0083_P2,CYC_0083,LIFT,2,5.83
CYC_0083_P3,CYC_0083,SWING,3,6.74
CYC_0083_P4,CYC_0083,DUMP,4,5.25
CYC_0083_P5,CYC_0083,REPOSITION,5,9.21
CYC_0084_P1,CYC_0084,DIG,1,8.48
CYC_0084_P2,CYC_0084,LIFT,2,5.38
CYC_0084_P3,CYC_0084,SWING,3,6.79
CYC_0084_P4,CYC_0084,DUMP,4,5.64
CYC_0084_P5,CYC_0084,REPOSITION,5,8.43
CYC_0085_P1,CYC_0085,DIG,1,8.61
CYC_0085_P2,CYC_0085,LIFT,2,5.83
CYC_0085_P3,CYC_0085,SWING,3,6.63
CYC_0085_P4,CYC_0085,DUMP,4,5.41
CYC_0085_P5,CYC_0085,REPOSITION,5,8.42
CYC_0086_P1,CYC_0086,DIG,1,8.96
CYC_0086_P2,CYC_0086,LIFT,2,5.69
CYC_0086_P3,CYC_0086,SWING,3,6.21
CYC_0086_P4,CYC_0086,DUMP,4,5.58
CYC_0086_P5,CYC_0086,REPOSITION,5,8.63
CYC_0087_P1,CYC_0087,DIG,1,8.92
CYC_0087_P2,CYC_0087,LIFT,2,5.82
CYC_0087_P3,CYC_0087,SWING,3,6.81
CYC_0087_P4,CYC_0087,DUMP,4,5.75
CYC_0087_P5,CYC_0087,REPOSITION,5,8.98
CYC_0088_P1,CYC_0088,DIG,1,8.7
CYC_0088_P2,CYC_0088,LIFT,2,6.15
CYC_0088_P3,CYC_0088,SWING,3,6.57
CYC_0088_P4,CYC_0088,DUMP,4,5.56
CYC_0088_P5,CYC_0088,REPOSITION,5,7.37
CYC_0089_P1,CYC_0089,DIG,1,8.68
CYC_0089_P2,CYC_0089,LIFT,2,5.95
CYC_0089_P3,CYC_0089,SWING,3,6.94
CYC_0089_P4,CYC_0089,DUMP,4,5.13
CYC_0089_P5,CYC_0089,REPOSITION,5,7.61
CYC_0090_P1,CYC_0090,DIG,1,7.88
CYC_0090_P2,CYC_0090,LIFT,2,5.89
CYC_0090_P3,CYC_0090,SWING,3,6.46
CYC_0090_P4,CYC_0090,DUMP,4,5.56
CYC_0090_P5,CYC_0090,REPOSITION,5,8.87
CYC_0091_P1,CYC_0091,DIG,1,8.89
CYC_0091_P2,CYC_0091,LIFT,2,5.5
CYC_0091_P3,CYC_0091,SWING,3,6.53
CYC_0091_P4,CYC_0091,DUMP,4,5.3
CYC_0091_P5,CYC_0091,REPOSITION,5,8.83
CYC_0092_P1,CYC_0092,DIG,1,9.26
CYC_0092_P2,CYC_0092,LIFT,2,5.79
CYC_0092_P3,CYC_0092,SWING,3,6.5
CYC_0092_P4,CYC_0092,DUMP,4,5.8
CYC_0092_P5,CYC_0092,REPOSITION,5,9.49
CYC_0093_P1,CYC_0093,DIG,1,8.61
CYC_0093_P2,CYC_0093,LIFT,2,5.72
CYC_0093_P3,CYC_0093,SWING,3,6.99
CYC_0093_P4,CYC_0093,DUMP,4,5.33
CYC_0093_P5,CYC_0093,REPOSITION,5,9.44
CYC_0094_P1,CYC_0094,DIG,1,8.05
CYC_0094_P2,CYC_0094,LIFT,2,5.88
CYC_0094_P3,CYC_0094,SWING,3,6.29
CYC_0094_P4,CYC_0094,DUMP,4,5.25
CYC_0094_P5,CYC_0094,REPOSITION,5,8.31
CYC_0095_P1,CYC_0095,DIG,1,11.19
CYC_0095_P2,CYC_0095,LIFT,2,6.91
CYC_0095_P3,CYC_0095,SWING,3,8.36
CYC_0095_P4,CYC_0095,DUMP,4,5.24
CYC_0095_P5,CYC_0095,REPOSITION,5,8.8
CYC_0096_P1,CYC_0096,DIG,1,7.2
CYC_0096_P2,CYC_0096,LIFT,2,7.42
CYC_0096_P3,CYC_0096,SWING,3,7.8
CYC_0096_P4,CYC_0096,DUMP,4,5.79
CYC_0096_P5,CYC_0096,REPOSITION,5,12.35
CYC_0097_P1,CYC_0097,DIG,1,10.09
CYC_0097_P2,CYC_0097,LIFT,2,5.17
CYC_0097_P3,CYC_0097,SWING,3,6.56
CYC_0097_P4,CYC_0097,DUMP,4,6.77
CYC_0097_P5,CYC_0097,REPOSITION,5,15.81
CYC_0098_P1,CYC_0098,DIG,1,10.08
CYC_0098_P2,CYC_0098,LIFT,2,6.49
CYC_0098_P3,CYC_0098,SWING,3,6.83
CYC_0098_P4,CYC_0098,DUMP,4,5.82
CYC_0098_P5,CYC_0098,REPOSITION,5,11.31
CYC_0099_P1,CYC_0099,DIG,1,9.77
CYC_0099_P2,CYC_0099,LIFT,2,5.98
CYC_0099_P3,CYC_0099,SWING,3,7.57
CYC_0099_P4,CYC_0099,DUMP,4,5.06
CYC_0099_P5,CYC_0099,REPOSITION,5,10.0
CYC_0100_P1,CYC_0100,DIG,1,9.14
CYC_0100_P2,CYC_0100,LIFT,2,7.07
CYC_0100_P3,CYC_0100,SWING,3,6.38
